Nodes,Cores,Total_Time_srun,IO_Time,Comm_Time,CPU_Time
4,1,0.81,0.032572,0.000004,0.260611
4,2,318.23,0.048938,4.896174,312.745303
4,3,156.76,0.039141,1.584972,154.558572
4,4,160.30,0.039239,5.270874,154.409324
4,5,103.73,0.042628,3.896397,98.949730
4,6,108.57,0.074888,4.311474,103.429578
4,7,80.39,0.080068,3.877507,75.646356
4,8,84.07,0.089625,3.555670,79.607685
4,9,73.45,0.104989,9.468367,63.075706
4,10,73.35,0.125445,8.681979,63.557390
4,11,57.42,0.147310,3.526218,52.804296
4,12,66.40,0.150274,8.152966,57.156887
4,13,52.63,0.167857,2.796969,48.667117
4,14,52.86,0.201136,2.507393,49.171607
4,15,45.82,0.196417,2.180451,42.421520
4,16,47.00,0.283105,2.227757,42.490424
4,17,41.10,0.260052,2.189643,37.690882
4,18,41.01,0.382046,1.979714,37.676907
4,19,39.87,0.175228,4.932205,33.706334
4,20,39.49,0.172662,1.276376,37.014576
4,21,33.59,0.161732,1.710249,30.624034
4,22,35.62,0.197296,3.604878,30.688922
4,23,33.98,0.169558,4.523951,28.189596
4,24,34.10,0.212541,4.561392,28.181619
4,25,32.18,0.179297,4.887553,25.880736
4,26,29.58,0.203651,2.137818,25.949572
4,27,30.06,0.206055,4.568726,24.065810
4,28,27.52,0.210291,2.051977,24.028946
4,29,25.84,0.190788,2.094784,22.306183
4,30,27.76,0.189467,4.115511,22.248450
4,31,26.58,0.207707,4.131432,20.936422
4,32,26.28,0.211444,4.182192,20.896684
4,33,24.57,0.220122,3.658117,19.637760
4,34,24.94,0.204219,3.891166,19.734661
4,35,21.88,0.239336,2.012930,18.517504
4,36,21.94,0.191255,2.068784,18.583880
4,37,22.48,0.207667,3.496052,17.588359
4,38,22.60,0.213973,3.561226,17.587507
4,39,21.26,0.199283,3.178094,16.677010
4,40,19.95,0.198110,1.926228,16.663940
4,41,20.69,0.218978,3.330499,15.868232
4,42,20.66,0.203499,3.237311,15.910791
4,43,20.06,0.190415,1.947457,16.588630
4,44,18.58,0.203971,1.871086,15.207357
4,45,19.43,0.195676,3.373261,14.531060
4,46,19.06,0.198401,3.019774,14.581202
4,47,18.30,0.200136,2.847095,13.969474
4,48,18.51,0.192002,2.950858,13.971380
