N,Nodes,Cores,Total_Time_srun,IO_Time,Comm_Time,CPU_Time
536831999,4,1,27.76,7.299095,0.000034,19.868759
536831999,4,2,18.88,5.804352,0.729047,11.578175
536831999,4,3,12.93,1.433791,2.174002,8.494748
536831999,4,4,12.08,2.759808,1.353079,7.160322
536831999,4,5,10.53,1.700069,1.984690,6.069688
536831999,4,6,10.44,2.828751,1.327273,5.487935
536831999,4,7,10.85,2.350021,1.612605,5.125953
536831999,4,8,10.60,3.391588,1.631025,4.773163
536831999,4,9,9.99,2.693970,1.928569,4.518708
536831999,4,10,9.89,2.795417,1.821104,4.389900
536831999,4,11,9.64,2.275275,2.150324,4.317282
536831999,4,12,9.88,2.510133,2.259047,4.156174
536831999,4,13,10.32,2.663776,2.552711,4.084107
536831999,4,14,9.95,2.777623,2.284738,3.834594
536831999,4,15,12.03,4.571137,2.604584,3.784212
536831999,4,16,9.64,2.498089,2.536151,3.607909
536831999,4,17,10.85,2.657041,2.604234,3.432369
536831999,4,18,8.90,2.222323,2.435030,3.228090
536831999,4,19,9.59,2.789319,2.614121,3.160792
536831999,4,20,8.93,2.344578,2.498324,3.011264
536831999,4,21,8.80,2.161582,2.589911,2.939763
536831999,4,22,8.25,1.961297,2.393014,2.832765
536831999,4,23,8.98,2.368286,2.523768,2.814020
536831999,4,24,8.66,2.309758,2.378424,2.727041
536831999,4,25,8.65,2.272129,2.476601,2.714483
536831999,4,26,8.22,1.901100,2.392853,2.708308
536831999,4,27,8.58,2.217519,2.477845,2.665268
536831999,4,28,8.74,2.586745,2.467925,2.491569
536831999,4,29,8.16,1.858653,2.505010,2.566341
536831999,4,30,7.83,1.771235,2.366307,2.469242
536831999,4,31,8.01,1.701727,2.604031,2.447714
536831999,4,32,7.83,1.737940,2.571289,2.534898
536831999,4,33,8.11,1.852415,2.696463,2.461743
536831999,4,34,7.67,1.655972,2.439546,2.468842
536831999,4,35,7.97,1.878826,2.507559,2.410108
536831999,4,36,7.67,1.647122,2.453883,2.430369
536831999,4,37,7.78,1.738973,2.474896,2.444855
536831999,4,38,7.68,1.616439,2.383605,2.375721
536831999,4,39,17.06,1.812693,2.586777,2.287779
536831999,4,40,7.95,1.862760,2.495346,2.400496
536831999,4,41,7.56,1.522907,2.524896,2.354507
536831999,4,42,7.51,1.729816,2.365319,2.186848
536831999,4,43,8.36,2.419540,2.563191,2.143593
536831999,4,44,7.27,1.343338,2.577356,2.144500
536831999,4,45,8.20,2.092474,2.583904,2.160001
536831999,4,46,7.31,1.447423,2.374584,2.170106
536831999,4,47,10.39,4.656692,2.394272,2.099916
536831999,4,48,7.27,1.298380,2.431711,2.203855
